cz_name,cz_dates,viaf_id,nkc_id,birth,death,debut,firsttrans,langdict
"Poděbrad, Hynek z",1452-1492,69730002,jk01100177,1452,1492,1915,,
"Podlipská, Sofie",1833-1897,23253388,jk01100238,1833,1897,1864,,
"Podroužek, Jaroslav",1913-1954,30923004,jk01100258,1913,1954,1939,,
"Podzimek, Václav",1921-,28651159,jk01100279,1921,,1972,,
"Pohl, Josef",1918-1988,73430918,jk01100297,1918,1988,1935,,
"Pokorný, Jaroslav",1899-1940,9572368,jk01100056,1899,1940,1920,,
"Poláček, Karel",1892-1945,22302144,jk01100136,1892,1945,1922,,
"Preissová, Gabriela",1862-1946,15039690,jk01101035,1862,1946,1886,,
"Prejdová, Dominika",1979-,120584605,xx0108503,1979,,2009,,
"Přidal, Antonín",1935-2017,5341826,jk01101555,1935,2017,1966,,
"Přidal, Tomáš",1968-,29477261,jn19981228114,1968,,1996,,
"Procházka, Jan",1929-1971,19683055,jk01101145,1929,1971,1954,,
"Procházka, Jiří",1925-1993,83871850,jk01101170,1925,1993,1954,,
"Procházková, Iva",1953-,41912510,jn19990209690,1953,,1980,,
"Procházková, Lenka",1951-,49443545,jn19990218087,1951,,1990,,
"Procházková, Petra",1964-,56589294,jn99240000905,1964,,1998,,
"Prošková, Hana",1924-2002,119404601,jk01101381,1924,2002,1962,,
"Pujmanová, Marie",1893-1958,3697562,jk01101703,1893,1958,1917,,
"Putík, Jaroslav",1923-2013,62352152,jk01101788,1923,2013,1950,,
"Pytlík, Radko",1928-,46774080,jk01101809,1928,,1960,,
"Rachlík, František",1904-1980,76823983,jk01101943,1904,1980,1930,,
"Rafaj, Miroslav",1934-1987,57925693,jk01101934,1934,1987,1963,,
"Rais, Karel Václav",1859-1926,50033731,jk01101955,1859,1926,1879,,
"Rakous, Vojtěch",1862-1935,50274860,jk01101986,1862,1935,1897,,
"Rašín, Jaromír",1891-1951,55625674,jk01102062,1891,1951,1927,,
"Ráž, Roman",1935-,76726437,jk01102144,1935,,1962,,
"Reiner, Martin",1964-,74780990,jn19981002077,1964,,1991,,
"Reis, Vladimír",1922-,7419729,jk01102238,1922,,1966,,
"Reynek, Bohuslav",1892-1971,44443053,jk01102385,1892,1971,1921,,
"Řezáč, Tomáš",1935-1992,8015991,jo2010589195,1935,1992,1979,,
"Řezáč, Václav",1901-1956,20491393,jk01110105,1901,1956,1934,,
"Řezníček, Pavel",1942-,4935783,jk01110127,1942,,1990,,
"Richterová, Sylvie",1945-,263972563,jn19990209718,1945,,1991,,
"Říha, Bohumil",1907-1987,15571104,jk01110164,1907,1987,1941,,
"Rotrekl, Zdeněk",1920-2013,54206403,jk01102796,1920,2013,1944,,
"Rottová, Inna",1935-,174881,jk01081784,1935,,1984,,
"Rudiš, Jaroslav",1972-,47831771,xx0004127,1972,,2002,,
"Rudlová, Helena",1897-1965,5944343,jk01103014,1897,1965,1933,,
"Rudolf, Stanislav",1932-,15329018,jk01103025,1932,,1972,,
"Rudyšarová-Mišíková, Eva",1961-,54292701,jn99240001006,1961,,1994,,
"Rut, Přemysl",1954-,52105240,jn99240001011,1954,,1981,,
"Rybák, Josef",1904-1992,61960616,jk01103251,1904,1992,1928,,
"Ryšavý, Martin",1967-,84079938,jn20011018830,1967,,2001,,
"Ryska, Jan",1916-1983,43804928,jk01103382,1916,1983,1955,,
"Šabach, Petr",1951-2017,119338358,jn19990201046,1951,2017,1986,,
"Sabina, Karel",1813-1877,42003196,jk01110239,1813,1877,1841,,
"Sádlo, Jiří",1958-,41628691,xx0008592,1958,,1999,,
"Šafařík, Pavel Josef",1795-1861,106968086,jk01122355,1795,1861,1818,,
"Šafránek, Ota",1911-1980,15286614,jk01122391,1911,1980,1940,,
"Šajner, Donát",1914-1990,10646743,jk01122408,1914,1990,1935,,
"Salava, Miroslav",1960-,21789177,jn99240001033,1960,,1995,,
"Šalda, František Xaver",1867-1937,14783197,jk01122425,1867,1937,1905,,
"Salivarová, Zdena",1933-,114678790,jk01110349,1933,,1968,,
"Šamberk, František Ferdinand",1838-1904,51814223,jk01122474,1838,1904,1871,,
"Santarová, Alena",1923-1967,25152649,jk01110399,1923,1967,1951,,
"Scheinpflugová, Olga",1902-1968,114438737,jk01110879,1902,1968,1924,,
"Schink, Petr",1979-,85593159,xx0046450,1979,,2006,,
